time,x,y,v,delta,accel,cte,cost,power,energy
0.0,-7.53000020980835,142.19000244140625,0.34493735432766326,-0.026579801657241543,2.999999999999886,0.11462174081653655,0.16941171097863977,3.799694683526236,0.37996946835262363
0.1,-7.53000020980835,142.19000244140625,0.048614282161023356,-0.02460620969241762,2.99999999999978,0.11462174081653655,0.029419084851640683,0.5354880963338773,0.4335182779860114
0.2,-7.53000020980835,142.19000244140625,0.09207395464183303,-0.02586221654246247,2.999999999999715,0.11462174081653655,0.03678789682819736,1.0142007370086592,0.5349383516868773
0.30000000000000004,-7.529999732971191,142.19000244140625,0.06500789523144518,-0.024846782077741502,2.999999999999702,0.11462126397980087,0.031660028355633446,0.7160649373245943,0.6065448454193367
0.4,-7.529999732971191,142.19000244140625,0.036895893514177845,-0.024799000720224916,2.999999999999284,0.11462126397980087,0.02822117890312931,0.4064094355664336,0.6471857889759801
0.5,-7.529999732971191,142.19000244140625,0.01895351335420162,-0.02443037504667537,2.9999999999987907,0.11462126397980087,0.02700961974953908,0.20877345679729686,0.6680631346557098
0.6000000000000001,-7.529834270477295,142.2035675048828,0.6463534165798435,-0.026455459771704694,3.0,0.11443979474332033,0.5278748309565767,7.120922183765097,1.3801553530322195
0.7000000000000001,-7.52748966217041,142.3458709716797,2.0152089996813163,-0.022171194921228467,2.999999999999999,0.1119272828760218,4.898595607577977,22.237678618756323,3.6039232149078515
0.8,-7.523293495178223,142.60267639160156,2.9782890704697564,-0.014934834578737878,2.721454594486243,0.10742811168601152,10.667476222607585,30.03181637045242,6.607104851953094
0.9,-7.518179893493652,142.94482421875,3.7636261071396278,-0.007855778009642971,2.7060613053732023,0.2655443018681026,2.213455515937149,37.84569741014456,10.39167459296755
1.0,-7.512798309326172,143.359130859375,4.445156250097121,-0.0051296452019867125,2.037444373127512,0.09604087061679716,4.797757798373925,34.418406707571314,13.833515263724681
1.1,-7.506340026855469,143.8388214111328,5.083393535086871,-0.0016656305744975055,2.0141605355115226,0.3623328488060217,3.409201469470082,39.097433132717605,17.743258576996443
1.2000000000000002,-7.499803066253662,144.37181091308594,5.4037429415597265,-0.0012556561455836885,1.5281457949341903,0.08185367164226816,4.528166803552581,32.458216525876495,20.989080229584093
1.3,-7.493218421936035,144.92274475097656,5.606478974659103,0.00018057991957740686,1.7478783405921556,0.27754009495961385,2.386246395176038,38.04903653007028,24.79398388259112
1.4000000000000001,-7.486247539520264,145.50091552734375,5.910204053499572,0.0004028029900180222,1.2495925310489602,0.06696915303326019,3.3460217728013553,29.90420441182553,27.784404323773675
1.5,-7.479081630706787,146.10926818847656,6.197608734189637,0.0014209332159695357,1.3729168561809004,0.10011139680075033,2.043902093092814,34.139185178762716,31.198322841649947
1.6,-7.472028732299805,146.74319458007812,6.429276337268344,0.002050678887654305,1.5143619514852986,0.44983033815965684,1.4925041685511977,38.69033215148293,35.06735605679824
1.7000000000000002,-7.465037822723389,147.39788818359375,6.622134970566025,0.001895468271851077,1.0501137430875094,0.043526638282826484,1.5768908012682132,29.172499076051448,37.984605964403386
