time,x,y,v,delta,accel,cte,cost,power,energy
0.0,-7.53000020980835,142.19000244140625,0.34674590826204926,-0.026339087344472534,2.999999999999928,0.11462174081653655,0.17090647759472719,3.8196191301605373,0.38196191301605376
0.1,-7.53000020980835,142.19000244140625,0.048385601490901764,-0.024525654401282664,2.999999999999927,0.11462174081653655,0.029390487537758365,0.5329691651281632,0.4352588295288701
0.2,-7.53000020980835,142.19000244140625,0.09217683225870205,-0.024996235796847927,2.999999999999734,0.11462174081653655,0.036788621946193645,1.015333949365451,0.5367922244654152
0.30000000000000004,-7.53000020980835,142.19000244140625,0.06512326747236886,-0.024201797369138297,2.999999999999943,0.11462174081653655,0.03166244541537081,0.7173357726226792,0.6085258017276831
0.4,-7.529999732971191,142.19000244140625,0.036970727145751656,-0.02446834289418407,2.9999999999997295,0.11462126397980087,0.028219666835733417,0.4072337313896684,0.64924917486665
0.5,-7.529999732971191,142.19000244140625,0.01899567618991482,-0.024872002210464827,2.9999999999985207,0.11462126397980087,0.02702242643859019,0.20923788170987817,0.6701729630376378
0.6000000000000001,-7.529918670654297,142.19650268554688,0.374440638755754,-0.026346650270791087,2.99999999999813,0.11453253070803578,0.19483381541823988,4.124730240764998,1.0826459871141376
0.7000000000000001,-7.527748107910156,142.3279266357422,1.950507680728388,-0.022673297992031903,2.843791121725032,0.11220690112580341,4.590825685643127,20.454848979450198,3.128130885059157
0.8,-7.523652076721191,142.57936096191406,2.917684378266815,-0.015540840535281594,2.007733487828236,0.10781420307310291,10.238859023293587,22.1271503386955,5.340845918928707
0.9,-7.51867151260376,142.91317749023438,3.656416871522311,-0.00836272397476789,1.8256562592697223,0.2952003428530772,1.9223762119653398,25.486439125272646,7.889489831455972
1.0,-7.513520240783691,143.31150817871094,4.232868844506673,-0.005914561939474066,1.326861694440052,0.09681885537303135,3.8353642097822713,22.209164852234036,10.110406316679375
1.1,-7.507978439331055,143.76031494140625,4.681004457538771,-0.002857814628051714,1.3010202505264226,0.43920962064086994,2.162926757935512,24.22870919963065,12.53327723664244
